sensor_1,1547718199,35.8
sensor_6,1547718201,15.4
sensor_7,1547718202,6.7
sensor_10,1547718205,38.1
sensor_1,1547718207,36.3
sensor_1,1547718209,32.8
sensor_1,1547718212,37.1



sensor_1,1,1547718199,35.8
sensor_1,2,1547718200,35.8
sensor_6,1,1547718201,15.4
sensor_7,1,1547718202,6.7
sensor_10,1,1547718205,38.1
sensor_1,1,1547718207,36.3
sensor_1,1,1547718209,32.8
sensor_1,1,1547718212,37.1


sensor_1,1,1547718199,1
sensor_6,1,1547718201,1
sensor_7,1,1547718202,1
sensor_10,1,1547718205,1
sensor_1,2,1547718200,1
sensor_1,1,1547718212,1
sensor_1,2,1547718209,1
